id,author_year,country,setting,level_of_care,design,era_note,n_patients,antibody_type,DAT_status,gestation_range,prior_IUT,phototherapy_standard,exchange_threshold_used,ivig_product,ivig_dose,infusion_duration,timing,repeat_doses,comparator,control_exchange_rate,primary_outcome,effect_size,ci_lower,ci_upper,p_value,peak_SBR,phototherapy_duration,topup_transfusions,length_of_stay,NEC,haemolysis,thrombosis,infusion_reactions,other_harms,neurodevelopment,rob_tool,rob_overall,directness,grade_certainty,grade_reason,funding,key_limitation,abstract_only,pmid,doi,notes
B4,Alpay_1999,Turkey,single centre (Gulhane Military Medical Academy),NICU,RCT,"late-1990s trial; conventional phototherapy comparator, pre-intensive-phototherapy era",116 (58/58),"Mixed (ABO and/or Rh incompatibility, combined analysis)",DAT+ (positive direct antiglobulin test required for entry),not stated in abstract,not stated in abstract,conventional phototherapy (comparator arm),SBR >290 micromol/L AND rising >17 micromol/L/h despite both treatments,not stated in abstract,1 g/kg,4 hours,early - as soon as diagnosis established,single dose,conventional phototherapy alone,22/58 (37.9%),exchange transfusion rate,8/58 (13.8%) IVIG vs 22/58 (37.9%) control; RR not calculated in abstract,,,p<0.001,not stated in abstract,significantly shorter in HDIVIG group (no absolute values in abstract),not stated in abstract,significantly shorter in HDIVIG group (no absolute values in abstract),not stated in abstract,not stated in abstract,not stated in abstract,none observed,not stated in abstract,not stated in abstract,not assessed,not assessed,"Indirect for the ABO-specific question - mixed ABO+Rh population, results not disaggregated by antibody type in abstract; pre-intensive-phototherapy era",Low,"downgraded for risk of bias (era, blinding/allocation concealment not described) and indirectness (ABO and Rh combined, not analysed separately)",not stated in abstract,mixed ABO/Rh trial with no antibody-type-specific breakdown of the primary outcome in the abstract,Y,10102158,10.1080/08035259950170420,Also directly relevant to Domain A (Rh); logged here for Domain B because ABO cases are included but not separable from Rh cases
B5,Tanyer_2001,Turkey,"single centre (Ankara Hospital, Ministry of Health)",not stated (implied nursery/NICU),"RCT (3-arm, quasi-randomised)",early-2000s trial; phototherapy given in all three arms,61 (3 groups; group-level n not given in abstract),"Mixed (ABO and Rh haemolytic disease, combined analysis)",not stated in abstract,not stated in abstract,not stated in abstract,phototherapy in all three groups,not stated in abstract,not stated in abstract,not stated numerically in abstract (multiple- vs single- vs no-IVIG dose comparison),not stated in abstract,not stated in abstract,Group I multiple doses; Group II single dose; Group III none,single-dose IVIG (Group II) and no-IVIG (Group III) vs multiple-dose IVIG (Group I),Group II 12%; Group III (no IVIG) 33%,exchange transfusion rate,"0% (Group I, multiple dose) vs 12% (Group II, single dose) vs 33% (Group III, no IVIG); RR not calculated in abstract",,,not stated in abstract,not stated in abstract,shorter in Group I than Groups II and III (no absolute values in abstract),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not assessed,not assessed,"Indirect for the ABO-specific question - mixed ABO+Rh population, not disaggregated by antibody type",Very low,"downgraded for risk of bias (randomisation method and blinding not described, small n=61 across 3 arms) and indirectness (ABO/Rh mixed, no antibody-type subgroup breakdown)",not stated in abstract,only identified trial directly comparing multiple-dose vs single-dose vs no-IVIG regimens; group-level n and CI not reported in abstract,Y,11245352,10.1093/tropej/47.1.50,Contributes to the dose/repeat-dosing question (c); mixed population limits ABO-specific inference
B6,Hu_2026,China,multicentre (implied; two centre affiliations reported),not stated (implied NICU/nursery),"RCT (4-arm: control, IVIG, plasma exchange, IVIG+PE)","modern-era trial (2026); comparator described only as 'Control', phototherapy intensity not stated","162 (Control 39, IVIG 42, PE 41, IVIG+PE 40)",ABO,not stated in abstract,not stated in abstract ('neonates'),not applicable (ABO),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,Control (no IVIG/PE); also head-to-head vs PE alone and vs IVIG+PE,not stated in abstract (exchange transfusion not reported as an outcome),"serum biomarkers (prealbumin, total bile acid, total bilirubin, procalcitonin, hs-CRP, antibody titre), neurodevelopment (NBNA), comfort, quality of life (PedsQL4.0)","IVIG+PE group showed the most significant improvement in PA, TBA, TBIL, PCT, hs-CRP and antibody titre (p<0.05) vs other groups; exact values not given in abstract",,,p<0.05 (multiple outcomes; values not individually specified in abstract),not stated numerically (TBIL improved most in IVIG+PE group per abstract),not stated in abstract,not stated in abstract,hospitalisation time reduced (not quantified in abstract),not stated in abstract,not stated in abstract,not stated in abstract,adverse event rates lower in all treatment groups than control (p<0.05); not quantified numerically in abstract,not stated in abstract,NBNA scores significantly enhanced in IVIG+PE group (values not given in abstract),not assessed,not assessed,Indirect for the primary ET-reduction question - exchange transfusion not reported as an outcome; trial addresses biomarker/QoL endpoints only,Very low,"downgraded for indirectness (does not report exchange transfusion, the guideline-relevant primary outcome) and risk of bias (allocation/blinding not described in abstract)",not stated in abstract,"most recent ABO-specific RCT identified but does not address the exchange-transfusion outcome; IVIG alone did not reach the significance seen only when combined with plasma exchange, a co-intervention outside standard UK NICU practice",Y,41968063,10.1111/vox.70265,"2026 4-arm RCT; only trial in this domain combining IVIG with plasma exchange; included per eligibility (postnatal IVIG in ABO-HDN, any comparator) but not directly applicable to a UK unit guideline"
B7,Okulu_2022,Turkey,"multicentre (national registry, >20 centres)",NICU (implied),retrospective cohort (registry-based),modern era; Turkish Neonatal Jaundice Online Registry; LED phototherapy per AAP/Turkish Neonatal Society guideline,"531 (408 phototherapy-only, 123 IVIG)",ABO,not stated in abstract,term,not applicable (ABO),"LED phototherapy per AAP/Turkish Neonatal Society guideline thresholds, both groups",not stated numerically in abstract (per AAP/Turkish Neonatal Society guideline),not stated in abstract,not stated in abstract ('one dose of IVIG'),not stated in abstract,given when bilirubin within 2-3 mg/dL of exchange threshold or above,single dose,LED phototherapy alone,"not stated numerically in abstract (reported only as lower than IVIG group, p<0.001)",exchange transfusion rate,need for exchange transfusion was higher in the IVIG group than the phototherapy-only group (direction of effect unfavourable to IVIG); exact rates/RR not given in abstract,,,p<0.001,not stated in abstract,longer in IVIG group (p<0.001); absolute values not given in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not applicable/not stated,not stated in abstract,not stated in abstract,re-hospitalisation rate higher in IVIG group (p<0.001); acute bilirubin encephalopathy rate higher in IVIG group (p=0.01),not stated in abstract (ABE reported as a proxy; see other_harms),not assessed,high risk of bias (retrospective registry cohort; confounding by indication likely - IVIG group had earlier presentation and lower baseline haemoglobin),Direct (term ABO-HDN; postnatal; near exchange-threshold bilirubin) but non-randomised - confounding by indication cannot be excluded,Very low,"downgraded for risk of bias (retrospective, non-randomised, likely confounding by indication - sicker/earlier-presenting infants selected for IVIG) and indirectness of the observed association (harm signal may reflect indication bias rather than a causal effect)",not stated in abstract,"largest cohort identified in Domain B (n=531) but retrospective and non-randomised; confounding by indication is the most likely explanation for the paradoxical direction of effect, not proof of harm",Y,35573949,10.3389/fped.2022.864609,"Largest ABO-specific dataset identified; single-dose IVIG given near ET threshold was associated with MORE exchange transfusion, longer phototherapy, more re-hospitalisation and more acute bilirubin encephalopathy than phototherapy alone - a null-or-harm signal requiring cautious interpretation given the non-randomised design"
B8,Daunov_2022,USA,single centre,not stated (implied NICU/nursery),retrospective cohort,"modern era (2007-2016 birth cohort, US tertiary centre)","579 (98 IVIG, 352 phototherapy, remainder other/no active treatment)",ABO (Rh incompatibility excluded by design),431/579 (74%) DAT-positive; remainder DAT-negative or not tested - outcomes not disaggregated by DAT status in abstract,>=38 weeks,not applicable (ABO),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,phototherapy alone / no IVIG,not stated numerically by group (6/579 [1%] of the whole cohort required exchange transfusion),number/use of packed red cell and exchange transfusions,"IVIG use was not associated with decreased use or number of transfusions (p=0.5148 for use, p=0.3333 for number)",,,p=0.5148 (transfusion use); p=0.3333 (transfusion number),"IVIG group had higher bilirubin at start of phototherapy: 9.1 vs 8.1 mg/dL, p=0.0064",not stated numerically in abstract,36/579 (6%) received pRBC transfusion overall; group-specific rates not given in abstract,not stated in abstract,not stated in abstract,"IVIG group had lower initial haemoglobin: 13.6 vs 16.0 g/dL, p<=0.0001",not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not assessed,"high risk of bias (retrospective, non-randomised, confounding by indication - IVIG group had lower baseline haemoglobin and higher bilirubin)","Direct (term ABO-HDN; postnatal) but non-randomised; provides the only DAT-positivity denominator (74%) identified in this domain, though outcomes are not stratified by DAT status",Very low,"downgraded for risk of bias (retrospective, confounding by indication) and imprecision (small transfused/exchanged subgroup, n=6 exchanged in the whole cohort)",not stated in abstract,DAT status recorded (74% positive) but exchange/transfusion outcomes not reported separately by DAT status - cannot answer the DAT+ vs DAT- efficacy question directly,Y,38286423,10.1055/a-2255-8772,Largest single-centre US cohort identified; reports DAT-positivity prevalence (74%) but no DAT-stratified outcome data - logged as an absence-of-evidence data point for the DAT-negative research question
B9,Pan_2021,China,"single centre (Children's Hospital, Zhejiang University)",not stated (implied NICU/nursery),retrospective cohort,modern era (2017 birth cohort),"114 (46 IVIG, 68 phototherapy-only)",ABO,not stated in abstract,"not stated in abstract (early neonatal period, <7 days)",not applicable (ABO),not stated in abstract,not stated in abstract,IVIG (IgG); product not further specified in abstract,not stated in abstract,not stated in abstract,early neonatal period (<7 days),not stated in abstract,phototherapy alone,not stated numerically in abstract (p=0.65 for need for exchange transfusion),"duration of phototherapy, hospitalisation, need for exchange transfusion, transfusions, bilirubin-induced neurological sequelae","no significant difference between groups for any outcome (P=0.20, 0.27, 0.65, 0.47, 0.78 respectively)",,,0.20 (phototherapy duration); 0.27 (hospitalisation); 0.65 (exchange transfusion); 0.47 (transfusions); 0.78 (BIND sequelae),not stated in abstract,no significant difference (p=0.20); absolute values not given in abstract,no significant difference (p=0.47); absolute values not given in abstract,no significant difference (p=0.27); absolute values not given in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,bilirubin-induced neurological sequelae: no significant difference (p=0.78); rates not given in abstract,assessed as bilirubin-induced neurological sequelae; no significant difference (p=0.78),not assessed,"high risk of bias (retrospective, non-randomised)","Direct (ABO-HDN, moderate-to-severe, early neonatal period; postnatal) but non-randomised",Very low,"downgraded for risk of bias (retrospective, non-randomised, indication for IVIG not standardised) and imprecision (n=114, no absolute effect sizes reported in abstract)",not stated in abstract,authors' own conclusion: 'unnecessary to expose neonates to IVIG ... when the available data show no appreciable benefits',Y,33589732,10.1038/s41372-021-00963-5,"Null retrospective cohort, concordant in direction with the placebo-controlled Rh RCTs in Domain A"
B10,AlLawama_2019,Jordan,single centre (Jordan University Hospital),not stated (implied NICU/nursery),retrospective case-control,"modern era; IVIG given at attending discretion (variable criteria, not protocolised)","202 (94 IVIG, 108 control)",Mixed isoimmune haemolytic disease; most common cause ABO incompatibility (proportion not given numerically in abstract),not stated in abstract,most infants term (exact range not given in abstract),not stated in abstract,phototherapy in both groups,not stated in abstract (attending discretion),not stated in abstract,not stated in abstract,not stated in abstract,given when phototherapy threshold reached or exchange-transfusion level approached (attending discretion),not stated in abstract,phototherapy alone,not stated numerically in abstract (reported qualitatively as higher in IVIG group),"rebound hyperbilirubinaemia, blood transfusion, exchange transfusion rate","IVIG group had MORE severe haemolysis (peak bilirubin 14.6+/-3.7 mg/dL vs 12.6+/-3.0 mg/dL, p=0.0001) and higher rates of rebound hyperbilirubinaemia, blood transfusion and exchange transfusion (rates not given numerically in abstract)",,,p=0.0001 (peak bilirubin comparison),"14.6+/-3.7 mg/dL (IVIG) vs 12.6+/-3.0 mg/dL (control), p=0.0001",not stated in abstract,higher in IVIG group (rate not given numerically in abstract),not stated in abstract,not stated in abstract,more severe in IVIG group by design (indication bias - IVIG selectively given to infants with worse haemolysis),not stated in abstract,no side effects documented in all included infants,higher rebound hyperbilirubinaemia in IVIG group (not quantified numerically in abstract),not stated in abstract,not assessed,"high risk of bias (retrospective, non-randomised, IVIG indication variable/attending discretion; clear confounding by indication - IVIG group had significantly worse baseline haemolysis)","Direct in population (isoimmune HDN, predominantly ABO) but confounded by indication; not a valid comparative efficacy estimate",Very low,downgraded for very serious risk of bias (confounding by indication is severe and is the most plausible explanation for the observed direction of effect) - this study cannot support a causal efficacy or harm conclusion,not stated in abstract,"IVIG selectively given to sicker infants (higher peak bilirubin); the higher transfusion/exchange rate in the IVIG group reflects indication bias, not a causal effect of IVIG, and should not be read as evidence of harm",Y,31803318,10.14740/jocmr4003,Illustrates why non-randomised comparisons of IVIG in ABO/isoimmune disease are unreliable in either direction; included per eligibility (cohort/case-control >=5) but heavily caveated in synthesis
C1,Paez_2026,not stated in abstract,not stated in abstract,not stated in abstract,case report,modern era (2026 publication),1,Kell system - anti-k (anti-Cellano),DAT+ (positive direct Coombs test),38 weeks (term),not stated in abstract,intensive phototherapy (stated as initial management),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,"postnatal, after neonate developed anaemia and jaundice (exact timing not stated)",not stated in abstract,not applicable (case report - no comparator arm),not applicable (no control group),"clinical course: progressive Hb decline despite IVIG/erythropoietin/iron, resolved only after RBC transfusion (mother's own k-negative blood, as compatible donor units unavailable)",not applicable (case report),not applicable (case report),not applicable (case report),not applicable (case report),not stated in abstract,not stated in abstract,RBC transfusion required (donor unit from k-negative mother); number of units not stated in abstract,not stated in abstract,not stated in abstract,ongoing haemolysis implied (Hb continued to fall despite IVIG/EPO/iron),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not assessed (no RoB tool applicable to case reports),not applicable (case report design),"Direct (term neonate, Kell/anti-k HDN, postnatal IVIG) but single case, no comparator arm",Very low,"downgraded for study design (single case report, no comparator - highest risk of bias by design) and imprecision (n=1)",not stated in abstract,"IVIG given alongside erythropoietin, iron and eventual transfusion; Hb continued to fall despite IVIG, and correction ultimately required transfusion - illustrates Kell's erythroid-suppression mechanism rather than pure haemolysis, consistent with IVIG's anti-haemolysis mechanism being less applicable",Y,41930090,10.7759/cureus.104540,"Anti-k (Cellano) is part of the Kell blood group system; case report only, no RCT evidence exists for Kell disease"
C2,Durrani_2022,not stated in abstract,not stated in abstract,not stated in abstract,case report,modern era (2022),1,Mixed - Anti-D + Anti-C (Rh system),not stated numerically in abstract,not stated in abstract,not stated in abstract,phototherapy (used; intensity not stated),not stated in abstract (raised serum bilirubin triggered exchange transfusion),not stated in abstract,not stated in abstract,not stated in abstract,postnatal (after jaundice/haemolysis identified in a male neonate born to a Rh-negative mother),"not stated in abstract (""intravenous immunoglobulin therapy"" - number of doses not given)",not applicable (case report - no comparator arm),not applicable (no control group),"clinical course: responded well to management, discharged; long-term follow-up revealed no side-effects",not applicable (case report),not applicable (case report),not applicable (case report),not applicable (case report),not stated in abstract,not stated in abstract,repeated blood transfusions given (number not stated in abstract),not stated in abstract,not stated in abstract,haemolysis and jaundice reported at presentation,not stated in abstract,not stated in abstract,"none reported (""no side-effects"" at long-term follow-up)",not stated in abstract,not assessed (no RoB tool applicable to case reports),not applicable (case report design),"Direct (neonate with combined anti-D+anti-C Rh HDN, postnatal treatment) but single case, no comparator; mixed-antibody phenotype distinct from isolated anti-D trials in Domain A",Very low,"downgraded for study design (single case report, no comparator) and imprecision (n=1)",not stated in abstract,"multimodal treatment (exchange transfusion, repeated blood transfusion, IVIG, immunosuppressive therapy all co-administered) precludes attributing outcome to IVIG specifically",Y,37013314,10.47391/JPMA.4564,Mixed Rh antibody (anti-D+anti-C) case; contributes to Domain C's 'mixed' category
C3,GutierrezVelez_2022,not stated (abstract not available via PubMed),not stated (abstract not available),not stated (abstract not available),case report,modern era (2022),1,Anti-c (Rh system),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),"not stated (abstract not available; title indicates IVIG given, then exchange transfusion)",not stated (abstract not available),not applicable (case report - no comparator arm),not applicable (no control group),title indicates the newborn developed necrotizing enterocolitis after IVIG administration and exchange transfusion; no further outcome detail available without abstract/full text,not applicable (case report),not applicable (case report),not applicable (case report),not applicable (case report),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),"Yes - necrotizing enterocolitis reported (per title); no further detail (e.g. Bell stage, timing) available without full text",not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not assessed (no RoB tool applicable to case reports),not applicable (case report design),"Direct (anti-c HDN, postnatal IVIG+exchange transfusion) but single case, title-only extraction",Very low,"downgraded for study design (single case report, no comparator, title-only extraction - abstract and full text not retrievable via PubMed MCP) and imprecision (n=1)",not stated (abstract not available),PubMed record has no abstract text and no PMC full text was retrievable this session; extraction is title-only. Directly relevant to Domain E (NEC after IVIG) as well as Domain C (anti-c),Y,36344387,10.1016/j.anpede.2022.10.001,"Title-only extraction - PubMed abstract field returned '[Abstract not available]' and no PMC ID exists for this record; verified as a real, indexed case report (PMID/DOI confirmed) but no numeric or narrative detail beyond the title could be extracted this session"
C4,Pandey_2022,not stated in abstract,not stated in abstract,not stated in abstract,case report,modern era (2022),1,"Mixed - Anti-D + Anti-C + Anti-E (Rh system, 3 antibodies)",not stated in abstract,not stated in abstract,not stated in abstract (no history of previous transfusion; sensitization mechanism unclear - IVF with sperm donation identified as likely cause),phototherapy (used; intensity not stated),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,postnatal (primigravida pregnancy; neonate developed severe HDFN after birth),"not stated in abstract (""IvIg"" - number of doses not given)",not applicable (case report - no comparator arm),not applicable (no control group),"case report of severe HDFN managed with phototherapy, exchange transfusion and IVIG; outcome described only as the diagnostic/management pathway, no explicit long-term outcome statement in abstract",not applicable (case report),not applicable (case report),not applicable (case report),not applicable (case report),not stated in abstract,not stated in abstract,not stated in abstract (exchange transfusion performed; simple/top-up transfusion not separately stated),not stated in abstract,not stated in abstract,severe HDFN with haemolysis implied by triple-antibody sensitization,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not assessed (no RoB tool applicable to case reports),not applicable (case report design),"Direct (neonate with triple Rh alloantibody HDFN, postnatal IVIG) but single case, no comparator; rare presentation in a primigravida",Very low,"downgraded for study design (single case report, no comparator) and imprecision (n=1)",not stated in abstract,primigravida with no transfusion history; sensitization attributed retrospectively to IVF with donor sperm - illustrates diagnostic complexity of mixed non-D alloimmunisation rather than IVIG efficacy specifically,Y,35944885,10.1016/j.tracli.2022.08.004,Mixed Rh antibody (anti-D+anti-C+anti-E) case; contributes to Domain C's 'mixed' category
C5,SolerNoda_2021,not stated in abstract,not stated in abstract,not stated in abstract,case report,modern era (2021),1,Anti-e (Rh system),not stated in abstract,"not stated in abstract (""perinatal""/""infant"" - preterm vs term not specified)",not stated in abstract,phototherapy (used; intensity not stated),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,"not stated in abstract (postnatal, following diagnosis of severe anaemia and hyperbilirubinaemia)",not stated in abstract,not applicable (case report - no comparator arm),not applicable (no control group),"resolution of the infant's anaemia and hyperbilirubinaemia after treatment with phototherapy, IVIG, and transfusion",not applicable (case report),not applicable (case report),not applicable (case report),not applicable (case report),not stated in abstract,not stated in abstract,transfusion given (number/type not stated in abstract),not stated in abstract,not stated in abstract,severe anaemia reported at presentation,not stated in abstract,not stated in abstract,none reported,not stated in abstract,not assessed (no RoB tool applicable to case reports),not applicable (case report design),"Direct (anti-e Rh HDN, postnatal IVIG) but single case, no comparator; anti-e is a rare non-D Rh antibody",Very low,"downgraded for study design (single case report, no comparator) and imprecision (n=1)",not stated in abstract,IVIG co-administered with phototherapy and transfusion; individual contribution of IVIG cannot be isolated,Y,34170643,10.21307/immunohematology-2021-011,Anti-e case; contributes to Domain C's 'other Rh antibody' category
C6,Gustavsen_2020,Norway,not stated in abstract,not stated in abstract,case report,modern era (2020),1,Kell system - anti-Ku (K0 phenotype; pan-Kell antibody),not stated in abstract,36+6 weeks (labour induced at this gestation),not stated in abstract,phototherapy (used; intensity not stated),"not stated in abstract (labour induced for rising antibody titres and high fetal MCA Doppler velocities, not a postnatal bilirubin threshold)",not stated in abstract,not stated in abstract,not stated in abstract,"postnatal, continued until haemoglobin normalised at 3 months of age",repeated infusions (exact number/interval not stated in abstract),not applicable (case report - no comparator arm),not applicable (no control group),"normalisation of haemoglobin at three months of age with phototherapy, repeated IVIG infusions and iron supplementation",not applicable (case report),not applicable (case report),not applicable (case report),not applicable (case report),not stated in abstract,not stated in abstract,not stated in abstract (delivered vaginally without need for maternal transfusion; neonatal transfusion not explicitly stated),not stated in abstract,not stated in abstract,HDFN with delayed resolution over 3 months implied,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not assessed (no RoB tool applicable to case reports),not applicable (case report design),"Direct (Kell-system/anti-Ku HDFN, postnatal repeated IVIG) but single case, no comparator; K0 phenotype is exceptionally rare",Very low,"downgraded for study design (single case report, no comparator) and imprecision (n=1)",not stated in abstract,"only Domain C case identified with an explicit repeat-dosing course extending to 3 months of age - directly relevant to Domain D's repeat-dose question, though still only anecdotal (n=1)",Y,31948214,10.4045/tidsskr.19.0117,Anti-Ku is a pan-Kell antibody (reacts with all Kell system antigens) arising in the extremely rare K0 (Kell-null) phenotype; cross-referenced in Domain D for its repeat-dosing detail
C7,Venkataraman_2017,Canada,single centre (University of Calgary),Neonatology/NICU (implied by 'Section of Neonatology' affiliation),case report,not stated (2017 publication),1,"Other/rare antigen - Anti-SARA (low-frequency red cell antigen, first described 1990)",not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract (both exchange transfusion and IVIG required),not stated in abstract,not stated in abstract,not stated in abstract,"postnatal (order relative to exchange transfusion not fully specified, but response was 'sustained after IVIG rather than after exchange transfusion')",not stated in abstract,not applicable (case report - no comparator arm),not applicable (no control group),sustained clinical response after IVIG (in contrast to a less sustained response after exchange transfusion),not applicable (case report),not applicable (case report),not applicable (case report),not applicable (case report),not stated in abstract,not stated in abstract,exchange transfusion performed (number of units not stated in abstract),not stated in abstract,not stated in abstract,haemolytic disease of newborn due to anti-SARA,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not assessed (no RoB tool applicable to case reports),not applicable (case report design),"Direct (rare non-Rh, non-Kell, non-ABO alloantibody HDN, postnatal IVIG and exchange transfusion) but single case, no comparator",Very low,"downgraded for study design (single case report, no comparator) and imprecision (n=1)",not stated in abstract,"illustrates that 'other' alloantibody HDN extends beyond Kell/anti-c/anti-E to very rare antigens (e.g. SARA, MNS, Duffy, Kidd systems per abstract background); authors note IVIG's role in HDN generally 'is not clear'",Y,28854515,10.3233/NPM-16131,Explicitly states in its own background that the role of IVIG in HDN is not clear - supports Domain C's overall 'evidence base is case reports only' conclusion
C8,Usman_2013,Malaysia,not stated in abstract,not stated in abstract,case series (2 cases),not stated (2013 publication),2,Anti-E (Rh system),not stated in abstract,not stated in abstract,not stated in abstract,phototherapy (used in both; intensity not stated),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,postnatal (both neonates treated by phototherapy and IVIG),not stated in abstract,not applicable (case report - no comparator arm),not applicable (no control group),"Case 1: severe hemolysis with severe anaemia, thrombocytopenia, conjugated hyperbilirubinaemia (required double-volume exchange transfusion in addition to phototherapy+IVIG). Case 2: moderate anaemia and unconjugated hyperbilirubinaemia (phototherapy+IVIG only, no exchange transfusion stated). Both had favourable outcomes.",not applicable (case report),not applicable (case report),not applicable (case report),not applicable (case report),not stated in abstract,not stated in abstract,Case 1 received double-volume exchange transfusion; Case 2 - not stated,not stated in abstract,not stated in abstract,severe hemolysis in Case 1; moderate in Case 2,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not assessed (no RoB tool applicable to case reports),not applicable (case series design),"Direct (anti-E Rh HDN, postnatal phototherapy+IVIG, one case also requiring exchange transfusion) but 2 cases, no comparator",Very low,"downgraded for study design (case series, no comparator) and imprecision (n=2)",not stated in abstract,one of two identified case reports specifically on anti-E treated with IVIG; both had favourable outcomes but neither isolates IVIG's individual contribution,Y,23559775,10.4103/0973-6247.106750,Anti-E case series (n=2); contributes to Domain C's anti-E category
C9,Onesimo_2010,Italy,not stated in abstract,not stated in abstract,case report,not stated (2010 publication),1,Anti-E (Rh system),not stated in abstract,not stated in abstract,not stated in abstract,phototherapy (IVIG used as adjuvant to phototherapy),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,"postnatal, adjuvant to phototherapy",not stated in abstract,not applicable (case report - no comparator arm),not applicable (no control group),"successful treatment of anti-E HDN with IVIG as adjuvant to phototherapy (exchange transfusion avoided, per abstract framing that IVIG is used 'to reduce the need for exchange transfusion')",not applicable (case report),not applicable (case report),not applicable (case report),not applicable (case report),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not assessed (no RoB tool applicable to case reports),not applicable (case report design),"Direct (anti-E Rh HDN, postnatal adjuvant IVIG) but single case, no comparator",Very low,"downgraded for study design (single case report, no comparator) and imprecision (n=1)",not stated in abstract,"second identified anti-E case report; author framing presents IVIG as reducing exchange-transfusion need generically, but this is an unreferenced assertion in the abstract, not a finding of this case report itself",Y,20092394,10.3109/14767050903544751,Anti-E case; contributes to Domain C's anti-E category
C10,Wagner_2000,Austria,not stated in abstract,"NICU (""transferred to the neonatal intensive care unit"")",case report,not stated (2000 publication),1,"Anti-Ce (Rh compound antigen, RH7)","DAT+ (positive DAT, titer 128)",40 weeks (term),not stated in abstract,double phototherapy,not stated in abstract (exchange transfusion performed after bilirubin continued to rise despite treatment),not stated in abstract,not stated in abstract,not stated in abstract,postnatal - transferred to NICU 25 hours after birth because of rapidly rising total serum bilirubin; IVIG given as part of intensive treatment before exchange transfusion,not stated in abstract (single course implied; furosemide/albumin/IVIG all given before ET),not applicable (case report - no comparator arm),not applicable (no control group),"despite intensive treatment including double phototherapy, albumin infusion, furosemide and IVIG, total serum bilirubin continued to rise and exchange transfusion was required; this produced a prompt decrease in bilirubin without relapse",not applicable (case report),not applicable (case report),not applicable (case report),not applicable (case report),"not stated numerically (bilirubin 'rapidly rising', prompting NICU transfer and subsequent exchange transfusion)",not stated in abstract,"exchange transfusion performed with 2 units (type O D-, C-, c+, E+, e-)",not stated in abstract,"not stated in abstract - vitamin K deficiency bleeding is listed as a MeSH term, suggesting a co-morbidity, not stated as an IVIG-related harm",not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not assessed (no RoB tool applicable to case reports),not applicable (case report design),"Direct (anti-Ce Rh HDN, postnatal IVIG) but single case, no comparator; treatment failed to prevent exchange transfusion despite IVIG",Very low,"downgraded for study design (single case report, no comparator) and imprecision (n=1)",not stated in abstract,"first identified anti-Ce case in this literature; notable as a case where IVIG (plus furosemide/albumin/double phototherapy) did NOT prevent exchange transfusion - a null anecdote, given equal billing per CLAUDE.md rule 7",Y,10827261,10.1046/j.1537-2995.2000.40050571.x,Anti-Ce is a compound Rh antigen (C and e in cis); rare cause of severe HDN requiring exchange transfusion despite IVIG
