id,author_year,country,setting,level_of_care,design,n_patients,n_events,population_detail,intervention,comparator,outcomes_measured,primary_result,effect_size,ci_lower,ci_upper,p_value,secondary_results,ascertainment_method,rob_tool,rob_domains,rob_overall,directness,grade_certainty,grade_reason,funding,conflicts,key_limitation,abstract_only,pmid,doi,notes,domain,fortifier_type,fortification_definition,subgroup_flag,bmf_terminology_check
D2-04,Malcolm 1991,UK,not specified (tertiary referral),tertiary,Retrospective matched cohort,25 AREDF pregnancies (19 morphologically normal fetuses) vs matched controls,NEC in 53% of AREDF morphologically-normal infants vs 6% controls,high-risk pregnancies with AREDF on umbilical artery Doppler,N/A (exposure = AREDF),Matched controls with normal umbilical artery Doppler,perinatal mortality; NEC,"Highly significant increased NEC risk with AREDF independent of growth restriction, prematurity or perinatal asphyxia",NEC 53% (AREDF) vs 6% (controls),,,highly significant (exact p not given in abstract),"Overall mortality 48% for all AREDF pregnancies, 37% for morphologically normal fetuses","retrospective case identification, matched-pair design",not applicable (pre-dates modern RoB tools),"small sample, retrospective, no fortification data whatsoever (predates modern fortification practice)",high risk of bias by modern standards; hypothesis-generating,"INDIRECT for fortification — this is the foundational AREDF-NEC epidemiological association paper, not a fortification study, and predates HMF as we know it",Very low,"Small (n=19-25), retrospective, no fortification exposure studied; historic study — very low certainty for any fortification-relevant inference",not reported,not reported,"Foundational mechanistic/epidemiological paper explaining WHY clinicians are cautious about feeding (and by extension fortifying) AEDF infants — must be labelled explicitly as background epidemiology, not fortification evidence",No,1863128,10.1136/adc.66.7_spec_no.805,"1991, pre-dates 10-year filters that would have deleted it; brief's no-date-limit instruction is directly vindicated by this entry",2,N/A,N/A,AEDF-REDF,N/A
D2-05,Wilson 1991,UK,single high-risk fetal assessment clinic,tertiary,Prospective cohort (correspondence/letter reporting confirmatory data),20 AREDF (18 liveborn) vs 18 matched controls,NEC in 4/18 (22%) AREDF vs 1/18 (6%) controls,"pregnancies with hypertension and/or IUGR, Doppler-studied",N/A (exposure = AREDF),Matched controls without AREDF,mortality; NEC,Confirms Malcolm 1991 association — NEC more common with AREDF independent of growth restriction/prematurity,NEC 22% vs 6%,,,"not given (small numbers, correspondence format)",Mortality 30% (6/20) with AREDF vs 0% controls,"prospective 2-year cohort at single clinic, published as a letter/correspondence responding to Malcolm 1991",not applicable,"very small numbers (n=18 per group), published as correspondence not full study",high risk of bias / very low precision,INDIRECT for fortification (same as Malcolm 1991) — epidemiological confirmation only,Very low,"Very small numbers, correspondence format, no fortification data",not reported,not reported,"Corroborates rather than independently establishes the AREDF-NEC link; explicitly a letter responding to Malcolm et al., not a standalone study",No,1776906,10.1136/adc.66.12.1467,"Published as a 'SIR,' letter in Arch Dis Child responding directly to Malcolm 1991 (D2-04) — label clearly as corroborating correspondence, not an independent trial",2,N/A,N/A,AEDF-REDF,N/A
D3-01,Olaloye 2020,USA,multiple (systematic review),tertiary,"Systematic review (19 studies: 2 case series, 1 cohort, 16 historical-control)","varies by included study, not pooled",,ELBW infants at risk for or after SIP,Early enteral nutrition (pre- or post-SIP),Later/delayed enteral nutrition,time to first feed; incidence of SIP; time to full enteral feeds; PN duration; LOS; neurodevelopmental outcome; mortality (primary: time to first feed),3 studies found reduced SIP incidence with enteral nutrition started in first 3 days of life; 2 studies found reduced mortality/ND impairment with early feeding,not pooled (narrative synthesis of heterogeneous historical-control studies),,,not pooled,No included study specifically addressed FORTIFIER timing/safety post-SIP — all address general enteral nutrition timing,"PRISMA-guided systematic review, PubMed/EMBASE/Medline",not specified (predominantly historical-control design flagged as inherently high risk),16/19 included studies are historical-control (high risk of bias/confounding by era),high (historical-control-dominated evidence base),"INDIRECT for fortification specifically — this is a feeding-INITIATION review for SIP, sub-question (i) in the brief's framework, not sub-question (ii) fortifier-addition timing",Very low,"Predominantly historical-control studies (serious risk of bias), narrative-only synthesis (no meta-analysis possible), and indirectness for the fortification-specific question",not reported in abstract,not reported in abstract,Confirms the brief's prediction: retrievable evidence addresses sub-question (i) [restart of ANY feeding] almost exclusively; sub-questions (ii) [fortifier addition timing] and (iii) [fortifier type and recurrence] are essentially absent from this systematic review,No,32397283,10.3390/nu12051347,The most direct evidence for Domain 3's framing — explicitly confirms the evidence gap the brief anticipated for sub-questions ii/iii,3,"not addressed (studies are about feed initiation, not fortifier)",N/A,post-SIP,N/A
D3-02,Bohnhorst 2003,Germany,single tertiary NICU,tertiary,Prospective cohort vs historic comparison group,26 (early feeding group) vs 18 (historic comparison),NEC recurrence: 2 (early) vs 1 (historic),infants with NEC Bell stage >=II,"Early restart of enteral feeds (once no portal venous gas x3 days on ultrasound), advanced 20 mL/kg/d",Historic comparison group (later restart),time to restart feeds; time to full enteral feeds; central-line duration; catheter sepsis; LOS; NEC recurrence/death,"Early feeding associated with shorter time to full feeds, shorter central-line duration, less catheter sepsis, shorter LOS, with no apparent increase in NEC recurrence or death",Feeds restarted median 4d (range 3-14) vs 10d (range 8-22); full feeds 10d (range7-31) vs 19d (range9-76); LOS 63d vs 69d,,,"P<.001 (time to full feeds); P<.01 (central-line duration, catheter sepsis); P<.05 (LOS)",1 NEC-related death in early group vs 2 in comparison group; 2 vs 1 recurrent NEC,prospective protocol-driven cohort vs historic controls,not specified (non-randomised),historic (non-concurrent) control group — confounded by secular changes in NICU care,"high risk of bias (non-randomised, historic control)",Direct for sub-question (i) [restarting ANY feeding after NEC] but says nothing about fortifier timing specifically (sub-question ii),Very low,Non-randomised historic-control design; explicitly underpowered (as authors themselves state) to exclude a higher NEC-recurrence risk,not reported in abstract,not reported in abstract,Authors themselves state the study was underpowered to exclude increased recurrence risk — an important self-acknowledged limitation to preserve in synthesis,No,14571225,10.1067/s0022-3476(03)00443-8,Landmark early-refeeding-after-NEC cohort named in the brief; says nothing about fortifier re-introduction specifically,3,not addressed,N/A,post-medical-NEC,N/A
D3-03,Hulscher/ERNICA 2024,Europe (multinational guideline panel),guideline development,tertiary/surgical referral,Evidence-based clinical practice guideline (GRADE methodology),N/A (guideline),,premature neonates with surgical NEC,"Guideline recommendations (surgical indications, drainage, technique, extensive-NEC management, enteral feeding, ND outcomes)",N/A,7 recommendations + 3 good-practice statements,Provides a general enteral-feeding recommendation domain but NO fortifier-specific recommendation for timing/safety of reintroducing HMF after surgical NEC,N/A,,,N/A,Certainty of evidence graded (very) low for most recommendations by the panel's own GRADE assessment,"Guidelines 2.0 checklist + GRADE methodology, multidisciplinary European expert panel + patient representatives","GRADE (guideline-level, not per-study)",,"(very) low certainty for most recommendations, per the guideline panel's own assessment",Direct for surgical NEC population generally; INDIRECT/ABSENT specifically for fortification (no fortifier-specific statement exists),Very low (per guideline's own GRADE label on most recommendations),"Guideline panel itself grades most recommendations (very) low certainty, reflecting sparse underlying trial evidence in surgical NEC generally",not reported in abstract,not reported in abstract,"Full-text checked specifically for a fortification-timing statement: NONE FOUND. This absence is itself the Domain 3 finding, not an oversight in this synthesis",No,39925108,10.1159/000542540,Confirms brief's prediction to 'report if none exists' — no fortification-specific recommendation exists in the current European surgical NEC guideline,3,not addressed,N/A,post-surgical-NEC,N/A
D3-04,De Rose 2026,Italy,national position-paper panel (SIN/SICP/SINUPE),tertiary/surgical,"Joint position paper (expert consensus, literature review 1990-Sept2024)",N/A,,"neonates undergoing major GI surgery (oesophageal atresia, CDH, chylothorax, intestinal atresia, abdominal wall defects, Hirschsprung, NEC, intestinal failure)","Nutritional management recommendations (EN timing/modality, milk choice, micronutrients)",N/A,"expert suggestions, not graded pooled effect estimates","Early EN (within 48h post-surgery) generally advised, prioritising human milk; NO fortifier-specific dosing/timing suggestion distinct from general EN advice","N/A (expert consensus, not evidence synthesis with effect sizes)",,,N/A,"Explicitly acknowledges 'lack of robust randomized controlled trials in this field', addressed 'through expert opinion'","Non-systematic literature review (PubMed 1990-2024) + expert panel consensus, not GRADE",N/A (expert opinion),,"Very low (explicitly expert-opinion based, authors state RCT evidence is lacking)","Direct for population (post-GI-surgery neonates, general category including NEC) but again no fortifier-specific evidence/statement",Very low,"Explicitly expert-opinion / consensus-based due to absence of RCTs in this field, as stated by the authors themselves",not reported in abstract,not reported in abstract,Second independent confirmation (alongside ERNICA 2024) that no fortifier-specific guidance exists for post-surgical NEC/SIP refeeding — the evidence gap is corroborated across two independent guideline/position-paper efforts,No,41519795,10.1186/s13052-025-02188-0,2026 publication; corroborates the ERNICA guideline's silence on fortifier-specific timing,3,not addressed,N/A,post-surgical-NEC,N/A
D4-01,"Brown 2020 (Cochrane, current version)",multiple (Cochrane),hospital NICU,tertiary,Cochrane systematic review and meta-analysis (18 RCTs),1456,"NEC: pooled RR 1.37 (13 studies, 1110 infants)",preterm infants fed human milk,Multi-nutrient fortified human milk,Unfortified human milk,"in-hospital weight gain, length, head circumference velocity; NEC; other morbidity/mortality; long-term growth/ND (limited data)","Fortification increases in-hospital weight, length and head-circumference growth velocity; low-certainty evidence of NO clear effect on NEC risk",Weight MD 1.76 g/kg/d; Length MD 0.11 cm/wk; HC MD 0.06 cm/wk; NEC RR 1.37,1.30 / 0.08 / 0.03 / 0.72,2.22 / 0.15 / 0.08 / 2.63,growth outcomes significant; NEC NS,Data on growth/ND beyond infancy sparse and show no clear fortification effect; evidence insufficient to determine long-term impact,"Cochrane Neonatal standard methods, 2 authors independent extraction, GRADE",Cochrane RoB,trials generally small and methodologically weak,"Low to moderate certainty overall (per Cochrane's own GRADE, not re-derived)","Direct (preterm, human milk fed)","Low-Moderate (varies by outcome; growth = low-moderate, NEC = low)","Small trials, methodological weakness (per Cochrane authors' own assessment) = risk of bias domain",Cochrane Neonatal,none declared,THE core Domain-4 evidence base; growth benefit is real but modest and long-term/ND data essentially absent — must not be over-interpreted as a growth-to-outcome causal chain,No,35658821,10.1002/14651858.CD000343.pub4,"Current (2020) update of the review the brief cites as 'Brown 2016' (PMID 27155888, CD000343.pub3, now superseded) — this synthesis uses the current version's numbers, noting the brief's citation year is one version behind",4,multi-nutrient (mixed/not product-specific),not standardised across included trials,general preterm,Does not use BMF abbreviation
D4-02,Rallis 2026,multiple (systematic review),hospital NICU,tertiary,"Systematic review and meta-analysis (15 RCTs), RoB2 + INSPECT-SR trustworthiness tool","1079 (546 fortified, 533 unfortified)",,neonates <=34 weeks GA or <=2500g birthweight,Fortified human milk,Unfortified human milk,weight/length/HC gain velocity; feeding intolerance; NEC; late-onset sepsis; CLD; time to full enteral feeds; LOS; mortality,"Fortified HM associated with significantly greater weight, length and HC gain velocity; no significant differences in feeding intolerance, NEC, LOS, sepsis, CLD or mortality",Weight MD 2.74 g/kg/d; Length MD 0.08 cm/wk; HC MD 0.06 cm/wk,1.27 / 0.02 / 0.03,4.22 / 0.14 / 0.10,significant for growth; NS for morbidity outcomes,"Substantial heterogeneity (I2 87-95%) for growth outcomes; INSPECT-SR flagged 1 trial with serious trustworthiness concerns, 12 with some concerns, 2 with none","PRISMA, RoB2, random-effects models, INSPECT-SR trustworthiness screening (novel addition)",Cochrane RoB2 + INSPECT-SR,substantial heterogeneity; trustworthiness concerns in most included trials,Low certainty overall (per authors),Direct (preterm/LBW),Low,Substantial unexplained heterogeneity (imprecision/inconsistency) and trial-trustworthiness concerns per authors' own INSPECT-SR screening,not reported in abstract,not reported in abstract,This is the brief's anticipated '2026 update' to Brown et al. — larger effect estimates than the Cochrane review but explicitly flagged by its own authors as low-certainty due to heterogeneity and trustworthiness concerns; do not treat as superseding Cochrane's more conservative estimate without noting this caveat,No,42451102,10.3390/nu18132098,Uses novel INSPECT-SR tool for study trustworthiness — a methodological strength worth naming explicitly in synthesis,4,not specified/mixed,not harmonised across included trials,general preterm/LBW,Does not use BMF abbreviation
D4-03,Campbell-Yeo 2025,multiple (network meta-analysis),hospital NICU,tertiary,Network meta-analysis (59 RCTs),not aggregated in abstract,,"preterm neonates, various feeding regimens including multi-nutrient fortification",Various fortification/feeding-regimen combinations,Network comparison across regimens,"mortality, NEC, ROP, sepsis, PVL, BPD, time to full enteral feeds, Bayley II MDI","Mother's own milk + donor milk + human-milk-based fortifier ranked top for mortality, NEC and time to full feeds; mother's own milk + phosphorus fortifier ranked top for ROP/BPD; insufficient high-quality evidence to support/refute any single regimen definitively","treatment rankings (SUCRA-style), not single pooled effect sizes in abstract",,,N/A (network ranking),"Sex-based/product-based ranking varied substantially by outcome, underscoring inconsistency across the evidence network","Cochrane CENTRAL/Medline/Embase/CINAHL to June 2023, 2 independent reviewers",not specified,network meta-analysis assumptions (transitivity) not detailed in abstract,Low (per authors' own conclusion of 'insufficient high-quality evidence'),Direct (preterm),Low,Authors' own conclusion states insufficient high-quality evidence to support or refute any regimen — network inconsistency and indirect comparisons downgrade certainty,not reported in abstract,not reported in abstract,Useful for showing DIRECTION of ranked preference (HM-derived fortifier tends to rank favourably) but explicitly not strong enough evidence to mandate practice change,No,40431391,10.3390/nu17101651,First global network-meta-analytic view of fortification/feeding-regimen combinations per the authors' own framing,4,multiple (network compares regimen classes),varies by trial in network,general preterm,Does not use BMF; uses 'bovine fortifier' as one network node
D5-01,Klamer 2022,Denmark,follow-up of RCT cohort,tertiary (original NICU) + community follow-up,Follow-up study of RCT (6-year corrected age),214 (141 breastfed [randomised F-MOM vs U-MOM] + 73 preterm-formula group),,"very preterm infants, followed to 6 years corrected age",Post-discharge fortification of mother's own milk (F-MOM),"Unfortified mother's own milk (U-MOM); separately, preterm formula (PF) group",Full-scale IQ (WISC-IV); subdomain scores; Five to Fifteen (FTF) parent questionnaire domains,Post-discharge fortification of MOM did NOT improve full-scale IQ or any FTF domain score vs unfortified MOM (essentially null),Median FSIQ 104 (F-MOM) vs 105.5 (U-MOM),,,P=0.29 (NS),"MOM group (fortified or not) had significantly better verbal comprehension (110 vs 106, P=0.03) and motor FTF scores (P=0.01) than the preterm-formula group",WISC-IV cognitive testing + FTF parent questionnaire at 6yr CA,"not specified (RCT follow-up, but attrition not detailed in abstract)",follow-up attrition not quantified in abstract,"moderate (long-interval follow-up, attrition risk)","DIRECT and Tier (i) per brief's directness taxonomy — fortification was the randomised variable and the outcome is a formal, hard neurodevelopmental endpoint (IQ), not a surrogate",Moderate,"Single RCT follow-up with a clinically important, well-validated hard outcome (IQ) but some downgrade for unspecified attrition and single-centre/country generalisability",not reported in abstract,not reported in abstract,"THE key Domain-5 Tier-i null finding — post-discharge fortification does not move the needle on IQ at school age; must be given full prominence per the brief's null-finding rule, not buried under positive surrogate-outcome findings elsewhere",No,35807888,10.3390/nu14132709,"Cross-referenced in Domain 7 (post-discharge) — same trial, two relevant domains",5,"bovine (implied, standard HMF for post-discharge fortification) — not explicitly BMF-labelled","post-discharge, shortly before discharge to 4 months corrected age",general VLBW/very preterm,Does not use BMF abbreviation
