id,author_year,country,setting,level_of_care,design,n_patients,n_events,n_clinicians,population_detail,intervention,comparator,outcomes_measured,primary_result,effect_size,ci_lower,ci_upper,p_value,secondary_results,ascertainment_method,rob_tool,rob_domains,rob_overall,directness,grade_certainty,grade_reason,funding,conflicts,key_limitation,abstract_only,pmid,doi,notes,gestational_age_range,glucose_threshold_used,glucose_measurement_method,outcome_timepoint,dose_response_reported
B11,Kuboi 2025,Japan,six tertiary NICUs (Shikoku Neonatal Medical Research Group),tertiary neonatal intensive care units (multicentre),multicentre comparative study,2943 blood glucose measurements in 285 infants,not applicable (diagnostic accuracy study),not extracted,infants from 22 weeks gestation onward including very/extremely preterm,Glutest Mint II point-of-care blood glucose meter,blood gas analyser,correlation/accuracy across full gestational age and birthweight range,Glutest Mint II significantly correlated with blood gas analyser; very high accuracy across the neonatal range,not a single pooled effect size (correlation/agreement study),not reported as single CI,not reported as single CI,not applicable,hematocrit and total serum bilirubin levels did not appear to affect accuracy,paired POC vs blood gas analyser,not applied (accuracy study),,"moderate-good (large multicentre sample, 6 sites)",direct - includes extremely preterm infants (from 22 weeks),Low-Moderate,"indirectness (single country, single device, not yet independently replicated); imprecision for the extremely preterm subgroup specifically (subgroup of larger sample)",not extracted,not extracted,not yet independently replicated outside this research group/country,N,40022493,10.1177/00045632251326460,"Most reassuring recent evidence that a modern device can perform adequately even in extremely preterm infants - directly relevant to a Level 3 unit's caseload, partially offsetting the usual preterm evidence-gap concern for accuracy specifically (not for outcome thresholds)",22 weeks gestation and above (includes extremely preterm),not a single threshold (accuracy study across full range),point-of-care vs blood gas analyser,not applicable (accuracy study),not applicable
B12,Sundar 2026,India,Chettinad Hospital and Research Institute; JIPMER Puducherry,neonatal setting,prospective diagnostic accuracy study,199 neonates,not applicable (diagnostic accuracy study),not extracted,neonates requiring glucose monitoring,"four newer-generation glucometers: Contour Plus, Accu-Chek Instant, OneTouch Select Plus, FreeStyle Optium Neo",laboratory plasma glucose (fluoride-oxalate),"agreement vs ISO 15197:2013, CLSI POCT12-A3, and UNICEF criteria","all 4 devices met ISO 15197 at <100 mg/dL; 2 of 4 (Accu-Chek Instant, Contour Plus) also met CLSI standards; NONE met UNICEF benchmark",Pearson's r for hematocrit association -0.258 to +0.196 (weak),not reported as single CI,not reported as single CI,not applicable,"patient characteristics (sex, gestational age, oxygen therapy, inotrope use) had negligible effect on discordance",paired POC vs laboratory plasma glucose,not applied (accuracy study),,moderate,direct - neonatal population,Moderate,"imprecision (199 neonates, likely single/two-centre); the UNICEF benchmark failure by all 4 devices is a genuine negative finding despite ISO/CLSI success",not extracted,not extracted,"none of the 4 modern devices met the stricter UNICEF framework, despite meeting ISO 15197",N,42493372,10.1016/j.clinthera.2026.06.021,One of the RESEARCH-BRIEF.md candidate PMIDs; screened and included; most recent (2026) head-to-head modern-device comparison against three different standards simultaneously,neonates (GA not further specified in abstract),100 mg/dL / 5.6 mmol/L (stratification point for ISO/CLSI criteria),point-of-care vs laboratory,not applicable (accuracy study),not applicable
B13,Bond 2025,"USA/multiple (Rice360 Institute, resource-constrained settings focus)",simulated laboratory conditions (not clinical bedside),n/a (bench/simulation study),laboratory simulation study,"not applicable (simulated adult blood samples, not patients)",not applicable,not extracted,simulated neonatal blood conditions (adult blood altered to hematocrit 18/40/55% and glucose 40/150 mg/dL),11 commercial point-of-care glucometers,YSI 2300 clinical chemistry analyser,mean percent bias; mean absolute relative difference; ranking by accuracy/precision/cost,"StatStrip and StatStrip Xpress 2 ranked best (Group 1); AccuChek Guide/GuideMe/Instant/Performa next (Group 2); HemoCue RT, Nipro Premier, OneTouchUltra 2 ranked worst (Group 4)",not a single pooled effect size (ranking study across 11 devices x 9 conditions),not reported as single CI,not reported as single CI,not applicable,ranking intended for resource-constrained/low-and-middle-income settings where neonate-specific devices are unaffordable,simulated blood at controlled hematocrit/glucose vs YSI reference,not applied (bench study),,"not applicable (bench simulation, not patient study)","indirect - simulated blood, not neonatal patients",Low,"indirectness (simulated adult blood, not actual neonatal blood/patients - a key limitation for generalisability); imprecision (bench conditions may not capture clinical sampling variance)",not extracted,not extracted,"simulated blood, not real neonatal patients - a genuine indirectness limitation",N,40818947,10.1186/s12887-025-05934-9,"One of the RESEARCH-BRIEF.md candidate PMIDs; screened and included; StatStrip-class devices again rank best, consistent with St Clair 2024 and Tendl 2013","not applicable (simulated blood, not patients)",40 mg/dL / 2.2 mmol/L and 150 mg/dL / 8.3 mmol/L (simulated glucose levels tested),point-of-care vs reference analyser (simulated blood),not applicable (accuracy study),not applicable
B14,Sheen 2023,Taiwan,medical center in central Taiwan,neonatal intensive care unit and sick child room (plus separate adult ICU arm),cross-sectional study,"114 neonates (plus 106 critically ill adults, separate arm)",not applicable (diagnostic accuracy study),not extracted,"neonates mean age 4.2 days (range 0-28 days), excluding suspected infection/coagulopathy",CONTOUR PLUS and CONTOUR PLUS ONE glucometers,ISO 15197:2013 accuracy criteria (implied laboratory reference),proportion of measurements meeting ISO 15197:2013 criteria,all neonatal venous blood measurements met ISO 15197:2013 accuracy criteria for both glucometers,not a single pooled effect size,not reported as single CI,not reported as single CI,not applicable,"98.1% and 97.2% of arterial glucose measurements for critically ill ADULTS met criteria (separate arm, not neonatal)",paired POC vs laboratory reference (ISO 15197 criteria),not applied (accuracy study),,moderate,direct - neonatal population (0-28 days),Moderate,"imprecision (114 neonates, single centre); indirectness (excluded neonates with suspected infection or coagulopathy - may not represent the most unwell NICU population)",not extracted,not extracted,positive finding for these specific newer wireless-linked devices in neonates,N,37248091,10.1016/j.clinthera.2023.05.005,One of the RESEARCH-BRIEF.md candidate PMIDs; screened and included; notably positive finding (100% neonatal venous samples met ISO criteria) contrasting with several other studies' negative findings,0-28 days of age,not a single threshold (ISO 15197:2013 criteria applied across range),point-of-care (venous) vs laboratory,not applicable (accuracy study),not applicable
B15,Parikh 2025,USA,McGovern Medical School NICU (Houston),neonatal intensive care unit,retrospective cohort study,118 patients (inborn infants),not applicable (diagnostic accuracy study),not extracted,inborn NICU infants in first 14 postnatal days,point-of-care (POC) testing (multiple analytes including glucose),central laboratory (CL) testing,mean difference (CL minus POC) for glucose and other analytes,POC systematically UNDERESTIMATED glucose vs central lab by mean 2.3 mg/dL (0.13 mmol/L),"also underestimated sodium (6.0 mEq/L), potassium (0.1 mEq/L), chloride (5.1 mEq/L); overestimated hemoglobin/hematocrit",not reported as single CI,not reported as single CI,not reported,glucose and hemoglobin differences INCREASED over postnatal time; hematocrit difference remained stable,paired POC vs central laboratory (linear mixed-effects models),not applied (accuracy study),,"moderate (118 patients, single centre, linear mixed-effects modelling for within/between-subject variation)",direct - inborn NICU infants,Moderate,"imprecision (single centre); risk of bias (retrospective, paired-timing window up to 1 hour may introduce true physiological change between samples)",not extracted,not extracted,"direction of bias (underestimation) is OPPOSITE to Roth-Kleiner 2010's overestimation finding with a different device/era - genuine inconsistency, not resolved",N,41419656,10.1038/s41372-025-02543-3,"Recent (2025) evidence of systematic POC underestimation, contrasting with older overestimation findings - key evidence for the (d) tension on inconsistent bias direction across studies","NICU inborn infants, first 14 postnatal days (GA not further specified in abstract)",not a single threshold (mean-difference bias study),point-of-care vs central laboratory,not applicable (accuracy study),not applicable
B16,Hamama 2026,Canada,"Health Science Center, Winnipeg, Manitoba",neonatal intensive care unit,retrospective cross-sectional comparative study,108 newborns,not applicable (diagnostic accuracy study),not extracted,NICU newborns with hypoglycaemic POC results (Sept 2022-Aug 2024),Nova StatStrip point-of-care glucose meter (hypoglycaemic readings only),confirmatory central laboratory serum glucose (Roche cobas c501),correlation and regression agreement between POC and serum,significant correlation r=0.825; POC systematically higher than lab (positive bias),"Deming regression slope 1.223, intercept -0.75; Passing-Bablok slope 1.200, intercept -0.70",not reported as CI,not reported as CI,not reported,authors conclude study questions the need for confirmatory serum samples in the presence of bedside hypoglycemic results,paired POC vs confirmatory central lab serum,not applied (accuracy study),,"low-moderate (single centre, retrospective, n=108)",direct - NICU population with confirmed hypoglycaemic readings,Low,"risk of bias (retrospective, single centre, single device); imprecision (n=108); indirectness (conclusion is authors' interpretation, not an outcome-based safety comparison of skipping confirmation)",not extracted,not extracted,single small retrospective study; contrarian conclusion not yet replicated and in tension with BAPM's confirmation requirement and the great majority of the accuracy literature,N,42137950,10.1515/jpem-2025-0736,"Erratum published separately at PMID 42387304 (DOI 10.1515/jpem-2026-0438), same authors/journal; central evidence for the (a)/(d) discussion of the governance/diagnosis question",NICU newborns (GA not specified in abstract),not a single threshold (regression/correlation study of POC vs serum in already-hypoglycaemic range),point-of-care vs laboratory (serum),not applicable (accuracy study),not applicable
B17,Beardsall 2012,"International (multicentre, incl. UK)",multiple NICUs (NIRTURE trial sites),neonatal intensive care (very low birth weight),prospective validation study (RCT substudy),188 very low birth weight infants (NIRTURE trial control arm),5207 paired glucose readings,not extracted,very low birth weight infants,continuous glucose monitoring sensor (CGMS),point-of-care glucose monitors (simultaneous),correlation; Clarke Error Grid/Consensus Grid; accuracy for detecting threshold-crossing,CGMS correlated well with POC overall (r=0.94) with minimal bias; met Clarke Error Grid and Consensus Grid criteria for clinical significance,not applicable (correlation/agreement study),not applicable,not applicable,not applicable,accuracy of SINGLE readings to detect set hypoglycaemia/hyperglycaemia thresholds was POOR; no deterioration in CGMS accuracy over 7 days,paired CGMS vs POC glucose,not applied (validation study),,moderate-good (international multicentre RCT substudy),direct - very low birth weight preterm infants,Moderate,"imprecision (single reading accuracy assessment underpowered relative to trend accuracy assessment); indirectness (CGMS vs POC, not vs a laboratory gold standard)",NIHR/Wellcome Trust and other non-industry support (per PubMed record),not extracted,"CGM good for TRENDS, poor for single-reading threshold detection",N,22791467,10.1136/archdischild-2012-301661,UK-relevant (NIRTURE trial included UK sites); key evidence that CGM is not a diagnostic substitute despite good trend correlation,very low birth weight preterm infants,not a single threshold (accuracy-for-detecting-thresholds study),continuous interstitial glucose monitoring vs point-of-care,7 days (CGMS recording duration),not applicable (accuracy study)
B18,Nava 2020,International (systematic review),Cochrane-style review base,n/a (systematic review),systematic review and meta-analysis (individual patient data),11 studies (IPD obtained for 5),not applicable (diagnostic accuracy review),not extracted,preterm infants across included studies,continuous glucose monitoring (CGM) devices,intermittent blood glucose testing methods,pooled sensitivity/specificity for hypoglycaemia and hyperglycaemia detection,pooled sensitivity 0.39 specificity 0.99 for hypoglycaemia; sensitivity 0.87 specificity 0.99 for hyperglycaemia,AUC 0.70 (hypoglycaemia) and 0.86 (hyperglycaemia),not reported as single CI,not reported as single CI,not applicable,only 2 of 5 IPD-available studies had MARD <10%; none of 5 CGM devices satisfied EU ISO 15197 requirements,QUADAS-2; GRADE for overall certainty,QUADAS-2,not extracted per-study,low-moderate (limitations in representative population/reference standard/device standardisation per authors),direct - preterm infant population specifically,Moderate,risk of bias (lack of representative population/reference standard/device standardisation across included studies per authors' own GRADE assessment); imprecision (IPD available for only 5 of 11 studies),not extracted,not extracted,CGM's LOW sensitivity for hypoglycaemia (0.39) is central to why CGM cannot substitute for point-of-care/laboratory confirmation,N,33361084,10.1136/bmjopen-2020-045335,PROSPERO CRD42020152248; central evidence that CGM is a distinct technology from POC glucometers and not a diagnostic substitute for hypoglycaemia specifically,preterm infants,not a single threshold (pooled diagnostic accuracy across included studies' own thresholds),continuous interstitial glucose monitoring vs intermittent blood glucose,not applicable (accuracy review),not applicable (accuracy review)
B19,Bonet 2024,Italy,"Ospedale Alessandro Manzoni, Lecco (single centre)",neonatal intensive care unit,prospective accuracy study,51 infants (501 paired SG-BG measurements),not applicable (diagnostic accuracy study),not extracted,infants born <=32 weeks gestation or birthweight <=1500g,continuous glucose monitoring (CGM) sensor glucose,"point-of-care blood glucose (calibration reference, every 12h)",mean absolute relative difference (MARD) between sensor and POC glucose,MARD 7.1% [IQR 5.6-9.3],difference -5.6 mg/dL,-25 mg/dL,+14 mg/dL,not reported,median sensor use 96 hours [IQR 72-120] with 2.0 calibrations/day; authors conclude may be clinically acceptable when regularly calibrated,paired CGM sensor vs POC glucose (not vs laboratory reference),not applied (accuracy study),,"moderate (single centre, 51 infants)",direct - very preterm infants (<=32 weeks or <=1500g),Low-Moderate,"indirectness (compared against POC, not a laboratory gold standard, so does not independently validate against the true reference); imprecision (single centre)",not extracted,not extracted,"validates CGM against POC only, not laboratory - does not itself resolve the POC-vs-lab confirmation question",N,39579867,10.1016/j.jpeds.2024.114416,Very preterm-specific CGM accuracy data; complements but does not substitute for the POC-vs-lab literature,<=32 weeks gestation or <=1500g birthweight (very preterm),not a single threshold (MARD accuracy study),continuous interstitial glucose monitoring vs point-of-care,5 days (CGM monitoring duration),not applicable (accuracy study)
B20,Glasgow 2018,New Zealand,"Liggins Institute, University of Auckland (health economics analysis)",modelled (decision-tree health economics analysis),health economic decision-tree analysis,"not applicable (modelled population, not a patient cohort)",not applicable,not extracted,modelled population of babies at risk of neonatal hypoglycaemia,enzymatic point-of-care glucometer screening,non-enzymatic point-of-care glucometer screening,cost per baby screened (NZD/USD); sensitivity analyses,enzymatic screening cost NZD 86.94 (USD 63.47) vs non-enzymatic NZD 97.08 (USD 70.87) per baby,not applicable (cost-effectiveness modelling),not applicable,not applicable,not applicable,"enzymatic glucometer cost-saving across wide staff-time/cost variation and irrespective of non-enzymatic false-positive level, where >=78% of low values are lab-confirmed; reducing threshold to 1.94 mmol/L reduced hypoglycaemia incidence from 52% to 13% and non-enzymatic screening cost to NZD 47.71","modelled (decision-tree), not a direct patient measurement study",not applied (economic model),,"not applicable (economic model, not empirical accuracy study)","indirect - modelled costs, not a direct accuracy comparison",Low,"indirectness (health economic model, not a direct diagnostic accuracy or outcome study); the underlying accuracy/false-negative assumptions are modelled inputs, not this study's own primary data",not extracted,not extracted,model result is highly dependent on the assumed proportion of low values receiving laboratory confirmation (>=78% threshold for enzymatic to be cost-saving),N,29895035,10.1159/000489080,"One of the RESEARCH-BRIEF.md candidate PMIDs; screened and included; the only health-economics angle on the POC-vs-lab-confirmation question located in this domain, and NZ-context (not UK) so extrapolated to UK costs",modelled population (not a specific GA cohort),1.94 mmol/L / 35 mg/dL (sensitivity-analysis threshold modelled),point-of-care (enzymatic vs non-enzymatic) - modelled,not applicable (economic model),not applicable
