id,author_year,country,setting,level_of_care,design,n_patients,n_events,n_clinicians,population_detail,intervention,comparator,outcomes_measured,primary_result,effect_size,ci_lower,ci_upper,p_value,secondary_results,ascertainment_method,rob_tool,rob_domains,rob_overall,directness,grade_certainty,grade_reason,funding,conflicts,key_limitation,abstract_only,pmid,doi,notes,gestational_age_range,glucose_threshold_used,glucose_measurement_method,outcome_timepoint,dose_response_reported
E11,"Wei 2024 (pre-hPOD dosage, ADC FN)",New Zealand/Australia,pre-hPOD dosage trial sites,mixed,RCT (dose-ranging) follow-up,309/392 eligible,4 dose arms + placebo,,">=35 weeks, >=1 risk factor for hypoglycaemia","prophylactic dextrose gel, 4 dose regimens (200-1000mg/kg)",placebo gel,neurocognitive impairment (NIH Toolbox) at 6-7y,no significant difference across doses vs placebo,placebo 56% vs dextrose 45-50% depending on dose (aRD range -14% to -7%),"varies by dose, see notes","varies by dose, see notes",not significant (all doses),"combined dextrose exposure: LOWER motor impairment (3% vs 14%, aRD -11%, 95% CI -19 to -3) and HIGHER cognitive scores (106.0 vs 101.1, aMD 5.4, 95% CI 1.8-8.9) - positive secondary signal, in tension with E9's adverse signal",NIH Toolbox cognitive/motor batteries,not applied,,low (RCT),direct,Low,imprecision (dose arms individually underpowered); tension with hPOD ITT result unresolved,not extracted,not extracted,"positive secondary motor/cognitive signal not replicated in hPOD 2-year ITT (E9), which showed opposite direction - not adjudicated",N,38307710,10.1136/archdischild-2023-326452,"Dose-ranging prophylaxis trial, early school age",>=35 weeks,prophylaxis (no treatment threshold specified for this outcome),point-of-care/laboratory,6-7 years,Y (dose-ranging design)
E12,"Wei 2024 (pre-hPOD exposure, J Pediatr)",New Zealand/Australia,pre-hPOD dosage trial sites,mixed,observational cohort analysis within RCT population (by hypoglycaemia exposure),315/392 (80%),47% experienced hypoglycaemia,,">=35 weeks, >=1 risk factor for hypoglycaemia",n/a (observational by exposure),no hypoglycaemia,neurocognitive impairment (NIH Toolbox) at 6-7y,no difference by exposure,51% vs 50%; aRD -4%,-15%,7%,not significant,severe or recurrent hypoglycaemia associated with worse visual motion perception and increased emotional-behavioural difficulty,NIH Toolbox,not applied,,"moderate (observational within RCT, confounding by indication)","direct population, observational design",Low,risk of bias - observational; imprecision,not extracted,not extracted,"consistent with CHYLD dose-response pattern (severity/recurrence, not simple exposure, drives risk)",N,38815750,10.1016/j.jpeds.2024.114119,"Null primary result but dose-response on secondary outcomes, consistent with CHYLD pattern",>=35 weeks,2.6 mmol/L/47 mg/dL; severe <2.0 mmol/L/36 mg/dL; recurrent >=3 episodes,point-of-care/laboratory,6-7 years,Y
E13,Shah 2018 (SR+MA),New Zealand (review of international studies),systematic review,n/a,systematic review and meta-analysis,"11 studies (12 publications); early-childhood pooled n=1657 (impairment), 508 (visual-motor), 463 (executive)",,,mixed term/preterm across included studies,n/a,n/a,"neurodevelopmental impairment, visual-motor impairment, executive dysfunction (early childhood); impairment, literacy, numeracy (mid-childhood)",null for global impairment (early childhood); positive for visual-motor and executive dysfunction,OR 1.16 (impairment); OR 3.46 (visual-motor); OR 2.50 (executive),0.86/1.13/1.20,1.57/10.57/5.22,CI-based,"mid-childhood: impairment OR 3.62 (95% CI 1.05-12.42, n=54 only); literacy OR 2.04 (95% CI 1.20-3.47); numeracy OR 2.04 (95% CI 1.21-3.44) - in tension with later, larger, single-cohort CHYLD null (E3)","ROBINS-I, GRADE, RevMan fixed-effects meta-analysis",ROBINS-I,not itemised in abstract,mixed across included studies,"mixed - pools term and preterm, at-risk and unselected populations across included studies",Low (mid-childhood estimate),imprecision (n=54 for mid-childhood pooled estimate); inconsistency (superseded by later single-cohort null),not extracted,not extracted,mid-childhood pooled estimate based on very small n and predates CHYLD's larger null result,N,30408811,10.1159/000492859,"Cross-validates CHYLD's early-childhood domain-specific pattern; mid-childhood estimate should be read alongside, not instead of, the later CHYLD null",mixed across included studies (not specified in abstract),varies by included study,varies by included study,early childhood and mid-childhood (pooled),not systematically analysed
E14,Wickström 2018,Sweden,"national register, single region",population-based (unselected),population-based register cohort,101060 singletons,not reported as single figure (moderate hypoglycaemia subgroup),,"unselected term singletons, diabetic mothers and NICU admissions excluded",n/a,normoglycaemic infants,"any neurological/neurodevelopmental outcome; developmental delay; motor delay; cognitive delay, 2-6 years",positive association,aOR 1.48 (any outcome); aOR 2.53 (developmental delay); aOR 1.91 (motor delay); aOR 2.85 (cognitive delay),1.17/1.71/1.06/1.70,1.88/3.73/3.44/4.76,CI-based,"early hypoglycaemia (<6h) highest risk: aOR 1.94 (any outcome, 95% CI 1.30-2.89); aOR 3.17 (cognitive delay, 95% CI 1.35-7.43)","national register data, retrospective",not applied,,"moderate (retrospective register, residual confounding possible)","indirect to CHYLD's at-risk cohort - this is an UNSELECTED population, largest sample in this domain",Low,"risk of bias (retrospective register, confounding by indication for testing not excludable)",not extracted,not extracted,cannot achieve CHYLD's dose-response granularity; large scale is main strength,N,30030683,10.1007/s10654-018-0425-5,Rare population-attributable (not at-risk-only) evidence source in this domain,term (unselected),moderate hypoglycaemia (exact register threshold not given in abstract),not specified (register data),2-6 years,Y (timing: <6h highest risk)
E15,Roeper 2024,Germany,"single tertiary hospital, Dusseldorf",tertiary,"retrospective, frequency-matched cohort",140 (77 male),not reported as single figure,,"children with neonatal glucose screening data, born 2010-2015, frequency-matched for sex/birthweight/GA/SES/risk factors",n/a,matched children without severe hypoglycaemia,"full-scale IQ; fine motor function; visual-motor integration; attention/ADHD symptoms, 7-11 years",positive association with lower IQ and motor/visual-motor deficits,IQ 107.0 vs 111.8 (4.8 points lower); fine motor OR 4.9; visual-motor integration OR 5.3,104.0(IQ)/1.5(motor)/2.1(VMI),109.9(IQ)/15.5(motor)/13.3(VMI),CI-based,higher parent-reported attention-problem and ADHD-symptom T-scores in exposed group,"retrospective glucose screening records, Wechsler/motor/visual-motor test battery at follow-up",not applied,,"moderate-high (retrospective, single-centre, frequency-matched not randomised)",direct but uses a lower exposure threshold (<=1.7 mmol/L/30mg/dL) than the BAPM/CHYLD treatment threshold (2.6 mmol/L/47mg/dL),Low,"risk of bias (retrospective recruitment, single centre); imprecision (n=140)",not extracted,not extracted,lowest exposure threshold in this domain - most relevant to 'what happens well below the treatment threshold' not to the treat-to-2.6mmol/L policy question,N,38530314,10.1001/jamanetworkopen.2024.3683,"Clearest, most consistent adverse IQ/motor signal in this domain, but at a much lower glucose threshold than current UK treatment threshold","not specified in abstract (implied term/near-term - severe asphyxia/other cerebral disease excluded as confound, not GA)",<=1.7 mmol/L / 30 mg/dL (severe transitional hypoglycaemia),retrospective clinical glucose screening records,7-11 years (mean 9.1),not within-study (single severe threshold only)
E16,Rasmussen 2020,Denmark,Odense University Hospital,tertiary,cohort with sibling controls,71 hypoglycaemia + 32 sibling controls,71,,">=35 weeks, BG<1.7 mmol/L (30 mg/dL) treated to >2.5 mmol/L (45 mg/dL); severe asphyxia/head injury/other cerebral disease excluded",n/a,healthy siblings,"Wechsler IV cognitive function; Movement ABC-2 motor function; Child Behavior Checklist, mean age 7.75-9.17y",null for cognition and behaviour; positive (adverse) for fine motor function,fine motor percentile 42.6 vs 57.2 (univariate); beta -16.4 for boys (adjusted),,,"0.03 (univariate); 0.009 (sibling-paired); 0.048 (boys, adjusted)",no significant differences in Wechsler IV or Child Behavior Checklist,"Wechsler IV, Movement ABC-2, CBCL",not applied,,"moderate (small n, sibling-control design partially addresses shared confounding)",direct - late preterm/term,Low,imprecision (small n=71/32); mixed result across outcome domains,not extracted,not extracted,"mixed result (null cognition/behaviour, positive fine motor) reported in full rather than reduced to single direction",N,32666280,10.1007/s00431-020-03729-x,"Sibling-control design; PMID 32794121 is a name-correction erratum for this same paper, not a separate study",>=35 weeks,<1.7 mmol/L / 30 mg/dL (exposure); treated to >2.5 mmol/L / 45 mg/dL,laboratory-confirmed,7.75-9.17 years (mean),"N (single threshold, sex-stratified only)"
E17,Goode 2016,USA,multisite (Infant Health and Development Program),"mixed, historical multisite RCT cohort","secondary analysis of multisite RCT cohort (historical, 1980s recruitment)",745/985 with recorded glucose,4 glucose-level strata,,PRETERM infants (Domain D population) - cross-referenced here as it bears on whether the term/late-preterm null pattern generalises,n/a,normoglycaemic preterm infants,"cognitive, academic, behavioural outcomes at 3, 8, 18 years",null for cognitive/academic outcomes at all ages,"not a single pooled effect size (multi-age, multi-domain comparison)",,,not significant (cognitive/academic),more severe hypoglycaemia associated with FEWER problem behaviours at 18y - not judged clinically meaningful by authors,standardised cognitive/academic/behavioural batteries at 3 fixed ages,not applied,,"moderate (historical cohort, 1980s-era glucose monitoring/treatment practices)",PRETERM population but historical (1980s) glucose management practices differ substantially from current era - directness caveat applies both to gestation AND era,Low,risk of bias (historical practices); indirectness (era),not extracted,not extracted,"no dose-response detected at all, inconsistent with the term/late-preterm CHYLD severity/recurrence pattern - discussed in Domain D",N,27940690,10.1542/peds.2016-1424,"Preterm null finding; primary discussion in Domain D, cross-referenced here for the term-vs-preterm generalisability question",preterm (exact range not given in abstract; IHDP enrolled <=37 weeks and/or <=2500g historically),"4 strata, exact cutpoints not given in abstract",not specified in abstract,"3, 8, and 18 years",N (no dose-response detected)
A1,Cornblath 2000,USA/UK (multi-author consensus),not applicable (consensus/review paper),not applicable,narrative review / expert consensus statement,not applicable,not applicable,not applicable,neonates generally; no single population studied,proposed operational thresholds for clinical intervention,not applicable,definition of clinically significant hypoglycaemia; proposed operational thresholds,"introduced ""operational threshold"" concept: pragmatic BG levels at which clinical action should be considered, distinct from a biochemical injury threshold",not applicable (non-quantitative consensus paper),not applicable,not applicable,not applicable,discusses future research needed to resolve definitional controversy,not applicable (expert synthesis of literature to date),not applicable,not applicable,not applicable,foundational conceptual paper; not population-specific,not GRADEable (non-interventional consensus statement),conceptual/consensus paper not an effect estimate; presented as expert consensus,not extracted,not extracted,26 years old; not updated since; still the accepted conceptual frame in guideline-comparison literature retrieved this session,N,10790476,10.1542/peds.105.5.1141,Foundational operational-threshold paper; direct intellectual precursor to BAPM Framework via co-author Hawdon JM,not specified (general neonatal),not a single numeric threshold - conceptual framework only,not applicable,not applicable,not applicable
A2,Nezafat Maldonado 2026,England and Wales (UK),National Neonatal Research Database (NNRD) - national,term neonatal units,retrospective observational cohort (before/after),25406 term admissions primarily for hypoglycaemia (denominator: national term live births 2012-2020),25406,not extracted,term infants admitted to NNU primarily for hypoglycaemia; 46.5% (11825/25406) had >=1 BAPM risk factor,publication of BAPM Framework for Practice (April 2017),pre-Framework practice (epoch 1: 36 months before April 2017) vs post-Framework practice (epoch 2: 36 months after),term admission rate to NNU primarily for hypoglycaemia per 1000 term live births; proportion of potentially avoidable admissions; time to admission; length of stay,admission rate decreased from 4.9 to 3.3 per 1000 term live births,4.9 to 3.3 per 1000 term live births,4.8 (epoch1) / 3.1 (epoch2),5.1 (epoch1) / 3.4 (epoch2),not reported (CI-based),proportion of potentially avoidable admissions (enteral feeds/special care only) decreased from 12.8% (95% CI 12.1-13.4%) to 8.9% (95% CI 8.3-9.5%); time to NNU admission and median length of stay UNCHANGED between epochs; 44% (5990/13581) of risk-factor-negative hypoglycaemic infants had birth weight >90th centile or 2nd-9.9th centile,National Neonatal Research Database (routinely collected national administrative/clinical data),"not applied (observational before/after, narrative synthesis)",,"moderate (before/after design, no contemporaneous comparator, cannot exclude secular trend)",direct - term UK population; national data,Moderate,risk of bias (before/after observational design; no contemporaneous control; cannot fully exclude secular trend or coincident practice change) - large national denominator supports certainty above a smaller before/after study,not extracted,not extracted,before/after design cannot prove causation; potential coincident secular trends or other practice changes not accounted for,N,41338963,10.1136/archdischild-2025-328872,Real-world governance-impact evidence for BAPM Framework; NNRD-based; term infants only,term (>=37 weeks),not a threshold study - evaluates impact of BAPM Framework (thresholds ~1.0-2.6 mmol/L/18-47 mg/dL per Framework) on admission rates,not applicable (admission-rate outcome study),before (2012-2017ish) vs after (2017-2020) BAPM Framework publication,not applicable
A3,Alsweiler 2022,New Zealand,not applicable (narrative review),not applicable,narrative review,not applicable,not applicable,not applicable,"neonates at risk of hypoglycaemia (infants of diabetic mothers, preterm, small/large for gestational age)",screening for neonatal hypoglycaemia (conceptual analysis against screening-test principles),not applicable,application of Wilson-Jungner-style screening test principles to neonatal hypoglycaemia screening,"screening for neonatal hypoglycaemia does not meet several screening test principles, because there is no direct diagnostic test for neuroglycopenia (blood glucose is a proxy) and no RCT has compared screened vs unscreened at-risk infants",not applicable (narrative/conceptual review),not applicable,not applicable,not applicable,"screening + treating hypoglycaemic episodes to maintain BG >=2.6 mmol/L 'appears to preserve cognitive function' compared to infants without episodes - an association from treated cohorts (CHYLD/Sugar Babies), not a screened-vs-unscreened randomised comparison",not applicable (narrative synthesis of existing screening/outcome literature),not applicable,not applicable,not applicable,direct conceptual argument; underlying evidence base is late-preterm/term at-risk cohorts (CHYLD/Sugar Babies),"not GRADEable (methodological/conceptual critique, not an effect estimate); underlying gap statement (no screened-vs-unscreened RCT exists) independently corroborated by absence of any such trial in this session's searches",not applicable (narrative review),not extracted,not extracted,central limitation of the entire field: no RCT of screening vs no screening exists; long-term outcomes of transient/mild hypoglycaemia not well understood,N,36568425,10.3389/fped.2022.1048897,Central paper for the screening-vs-diagnostic-threshold conceptual distinction required by RESEARCH-BRIEF.md section 4,late preterm and term at-risk populations (per cited underlying evidence),2.6 mmol/L / 47 mg/dL (treatment target cited from CHYLD/Sugar Babies evidence),not applicable (conceptual review),not applicable,not applicable
A4,Kebede 2025,Ethiopia (8 pooled studies),hospitalised neonates (Ethiopian NICUs/hospitals),mixed levels of neonatal care,"systematic review and meta-analysis (random-effects, inverse-variance)",3686 neonates pooled across 8 studies,not all reported as single events - prevalence outcome,not applicable,hospitalised Ethiopian neonates screened for prolonged transitional neonatal hypoglycaemia (PTNHG),"not applicable (prevalence/associated-factors study, not an intervention trial)",not applicable,prevalence of prolonged transitional neonatal hypoglycaemia (PTNHG); associated risk factors,pooled prevalence of PTNHG 19.71%,19.71% pooled prevalence; AOR 3.31 preterm birth; AOR 3.41 hypothermia; AOR 4.71 infant of diabetic mother; AOR 3.26 delayed breastfeeding >1h; AOR 2.37 pathological jaundice,16.85% (prevalence CI lower); 2.57/2.19/2.15/2.03/1.91 (AOR CI lowers respectively),22.56% (prevalence CI upper); 4.04/4.62/7.26/4.49/2.84 (AOR CI uppers respectively),not reported for prevalence; AORs implicitly significant per reported CIs,"substantial heterogeneity I2=79.20% (p<0.001); prevalence similar for RBS threshold <47 mg/dL (21%, 95% CI 16-27) vs <40 mg/dL (18%, 95% CI 15-22); similar across sample size >400 vs <=400 subgroups",random blood sugar (RBS) measurement 48-72h after birth; threshold <47 mg/dL,not explicitly named (systematic review methodology; forest plot/I2/Egger's test for heterogeneity/publication bias),not extracted,,indirect - Ethiopian hospitalised-neonate population; NOT UK-generalisable - flagged explicitly per task instruction,Low,risk of bias (substantial heterogeneity I2=79.2%; p<0.001 across 8 pooled studies); indirectness (Ethiopian population and healthcare context - not transportable to UK setting),not extracted,not extracted,"prevalence estimate not generalisable to UK; used here as a definitional anchor only (RBS <47 mg/dL / 2.6 mmol/L at 48-72h), not as a UK-relevant prevalence figure",N,39913386,10.1371/journal.pone.0316464,Defines PTNHG operationally at RBS <47 mg/dL (2.6 mmol/L) 48-72h after birth - numerically consistent with the BAPM persistent-hypoglycaemia threshold reported via Giouleka 2023 (A5),not specified by gestation band; preterm birth is a studied risk factor (AOR 3.31) not the population definition,<47 mg/dL / 2.6 mmol/L (RBS at 48-72h defines PTNHG); subgroup also analysed at <40 mg/dL / 2.2 mmol/L,point-of-care random blood sugar (RBS),48-72 hours after birth,"Y (preterm birth analysed as one of several associated risk factors, not a severity/recurrence dose-response within PTNHG itself)"
